System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10
2025-10-25 21:23:59,794.41,30.40,54.00,168,191
2025-10-25 21:24:04,799.43,30.90,54.00,166,188
2025-10-25 21:24:09,804.46,30.00,54.00,167,190
2025-10-25 21:24:14,809.48,30.10,54.00,167,190
2025-10-25 21:24:19,814.51,30.70,54.00,167,190
2025-10-25 21:24:24,819.53,30.80,54.00,165,188
2025-10-25 21:24:29,824.56,30.50,54.00,163,190
2025-10-25 21:24:34,829.59,30.40,54.00,164,190
2025-10-25 21:24:39,834.61,30.70,54.00,164,190
2025-10-25 21:24:44,839.64,30.60,54.00,164,190
2025-10-25 21:24:49,844.66,30.40,54.00,165,190
2025-10-25 21:24:54,849.69,30.70,54.00,165,189
2025-10-25 21:25:00,854.72,30.60,54.00,164,188
2025-10-25 21:25:05,859.74,30.50,54.00,164,187
2025-10-25 21:25:10,864.76,30.70,54.00,164,186
2025-10-25 21:25:15,869.79,30.00,54.00,164,186
2025-10-25 21:25:20,874.82,30.90,54.00,164,186
2025-10-25 21:25:25,879.84,30.00,54.00,164,186
2025-10-25 21:25:30,884.87,30.90,54.00,164,187
2025-10-25 21:25:35,889.89,30.10,54.00,166,188
2025-10-25 21:25:40,894.92,30.50,54.00,167,188
2025-10-25 21:25:45,99.94,30.30,54.00,166,186
2025-10-25 21:25:50,904.97,30.50,54.00,166,186
2025-10-25 21:25:55,910.00,30.30,54.00,164,186
2025-10-25 21:26:00,915.02,30.40,54.00,163,186
2025-10-25 21:26:05,920.05,30.70,54.00,161,184
2025-10-25 21:26:10,925.07,30.10,54.00,159,182
2025-10-25 21:26:15,930.10,30.60,54.00,159,181
2025-10-25 21:26:20,935.12,30.00,54.00,160,181
2025-10-25 21:26:25,940.15,30.00,54.00,164,187
2025-10-25 21:26:30,945.17,30.90,54.00,167,187
2025-10-25 21:26:35,950.20,30.00,54.00,167,187
2025-10-25 21:26:40,955.22,30.00,54.00,167,187
2025-10-25 21:26:45,0.25,30.90,54.00,169,189
2025-10-25 21:26:50,965.27,30.60,54.00,165,187
2025-10-25 21:26:55,970.30,30.30,54.00,165,187
2025-10-25 21:27:00,5.33,30.40,54.00,166,188
2025-10-25 21:27:05,980.35,30.30,54.00,166,188
2025-10-25 21:27:10,985.38,30.30,54.00,166,188
2025-10-25 21:27:15,990.40,30.30,54.00,166,188
2025-10-25 21:27:20,995.43,30.30,54.00,167,189
2025-10-25 21:27:25,1000.45,30.60,54.00,174,193
2025-10-25 21:27:30,1005.48,30.80,54.00,174,194
2025-10-25 21:27:35,1010.51,30.20,54.00,173,196
2025-10-25 21:27:40,1015.53,30.20,54.00,171,195
2025-10-25 21:27:45,1020.56,30.50,54.00,171,195
2025-10-25 21:27:50,1025.58,30.10,54.00,168,193
2025-10-25 21:27:55,1030.61,30.10,54.00,168,193
2025-10-25 21:28:00,1035.63,30.50,54.00,166,190
2025-10-25 21:28:05,1040.66,30.10,54.00,167,190
2025-10-25 21:28:10,1045.68,30.90,54.00,167,190
2025-10-25 21:28:16,1050.71,30.40,54.00,168,190
2025-10-25 21:28:21,1055.73,30.40,54.00,169,189
2025-10-25 21:28:26,1060.76,30.40,54.00,170,190
2025-10-25 21:28:31,1065.78,30.40,54.00,170,190
2025-10-25 21:28:36,1070.81,30.10,54.00,170,191
2025-10-25 21:28:41,1075.83,30.40,54.00,168,190
2025-10-25 21:28:46,80.86,30.40,54.00,167,188
2025-10-25 21:28:51,1085.89,30.40,54.00,164,183
2025-10-25 21:28:56,1090.92,30.70,54.00,164,182
2025-10-25 21:29:01,1095.94,30.90,54.00,165,184
2025-10-25 21:29:06,1100.97,30.30,54.00,168,190
2025-10-25 21:29:11,1105.99,30.70,54.00,168,190
2025-10-25 21:29:16,1111.02,30.90,54.00,168,190
2025-10-25 21:29:21,1116.04,30.80,54.00,168,190
2025-10-25 21:29:26,1121.07,30.50,54.00,167,189
2025-10-25 21:29:31,1126.09,30.60,54.00,167,189
2025-10-25 21:29:36,1131.12,30.10,54.00,172,197
2025-10-25 21:29:41,1136.14,30.50,54.00,168,192
2025-10-25 21:29:46,1141.17,30.40,54.00,168,192
2025-10-25 21:29:51,1146.19,30.20,54.00,169,192
2025-10-25 21:29:56,1151.22,30.60,54.00,171,191
2025-10-25 21:30:01,1156.24,30.40,54.00,167,185
2025-10-25 21:30:06,1161.27,30.40,54.00,169,188
2025-10-25 21:30:11,1166.30,30.40,54.00,167,184
2025-10-25 21:30:16,1171.32,30.40,54.00,166,184
2025-10-25 21:30:21,1176.35,30.20,54.00,166,184
2025-10-25 21:30:26,1181.38,30.50,54.00,165,184
2025-10-25 21:30:31,1186.40,30.70,54.00,165,184
2025-10-25 21:30:36,1191.43,30.40,54.00,165,185
2025-10-25 21:30:41,1196.45,30.40,54.00,165,186
2025-10-25 21:30:46,1201.48,30.40,54.00,165,187
2025-10-25 21:30:51,1206.50,30.60,54.00,165,187
2025-10-25 21:30:56,1211.53,30.60,54.00,166,187
2025-10-25 21:31:01,1216.55,30.60,54.00,166,186
2025-10-25 21:31:06,1221.58,30.60,54.00,166,189
2025-10-25 21:31:11,1226.60,30.20,54.00,166,189
2025-10-25 21:31:16,1231.63,30.60,54.00,166,189
2025-10-25 21:31:21,1236.65,30.20,54.00,168,192
2025-10-25 21:31:26,1241.68,30.40,54.00,165,187
2025-10-25 21:31:32,1246.71,30.60,54.00,165,187
2025-10-25 21:31:37,1251.73,30.70,54.00,171,193
2025-10-25 21:31:42,76,30.00,54.00,170,192
2025-10-25 21:31:47,1261.78,30.90,54.00,170,193
2025-10-25 21:31:52,1266.81,30.40,54.00,170,193
2025-10-25 21:31:57,1271.83,30.60,54.00,167,189
2025-10-25 21:32:02,1276.86,30.30,54.00,168,196
2025-10-25 21:32:07,1281.88,30.80,54.00,168,196
2025-10-25 21:32:12,1286.91,30.20,54.00,168,196
2025-10-25 21:32:17,1291.93,30.50,54.00,167,193
2025-10-25 21:32:22,1296.96,30.20,54.00,169,196
2025-10-25 21:32:27,1301.99,30.80,54.00,169,196
2025-10-25 21:32:32,1307.01,30.40,54.00,166,190
2025-10-25 21:32:37,1312.04,30.60,54.00,165,189
2025-10-25 21:32:42,1317.06,30.30,54.00,165,188
2025-10-25 21:32:47,1322.09,30.70,54.00,165,188
2025-10-25 21:32:52,1327.11,30.90,54.00,164,187
2025-10-25 21:32:57,1332.14,30.60,54.00,165,188
2025-10-25 21:33:02,1337.16,30.80,54.00,166,188
2025-10-25 21:33:07,1342.19,30.00,54.00,168,190
2025-10-25 21:33:12,1347.22,30.70,54.00,168,189
2025-10-25 21:33:17,1352.24,30.80,54.00,168,190
2025-10-25 21:33:22,357.27,30.90,54.00,164,187
2025-10-25 21:33:27,1362.29,30.60,54.00,165,190
2025-10-25 21:33:32,1367.32,30.20,54.00,162,188
2025-10-25 21:33:37,1372.34,30.40,54.00,162,188
2025-10-25 21:33:42,1377.37,30.30,54.00,162,188
2025-10-25 21:33:47,1382.39,30.30,54.00,161,187
2025-10-25 21:33:52,1387.42,30.00,54.00,165,190
2025-10-25 21:33:57,1392.44,30.60,54.00,169,194
2025-10-25 21:34:02,1397.47,30.20,54.00,169,194
2025-10-25 21:34:07,1402.49,30.30,54.00,169,194
2025-10-25 21:34:12,1407.52,30.10,54.00,168,192
2025-10-25 21:34:17,1412.55,30.20,54.00,165,191
2025-10-25 21:34:22,1417.58,30.40,54.00,168,192
2025-10-25 21:34:27,1422.60,30.30,54.00,169,193
2025-10-25 21:34:32,1427.63,30.10,54.00,170,194
2025-10-25 21:34:37,1432.65,30.30,54.00,171,195
2025-10-25 21:34:42,1437.68,30.10,54.00,171,195
2025-10-25 21:34:48,1442.70,30.40,54.00,171,195
2025-10-25 21:34:53,1447.73,30.30,54.00,170,194
2025-10-25 21:34:58,1452.75,30.10,54.00,171,195
2025-10-25 21:35:03,1457.78,30.20,54.00,171,194
2025-10-25 21:35:08,1462.80,30.40,54.00,166,189
2025-10-25 21:35:13,1467.83,30.40,54.00,166,188
2025-10-25 21:35:18,1472.85,30.40,54.00,169,191
2025-10-25 21:35:23,1477.88,30.40,54.00,169,190
2025-10-25 21:35:29,1482.90,30.40,54.00,165,183
2025-10-25 21:35:33,1487.93,30.30,54.00,163,187
2025-10-25 21:35:38,1492.96,30.10,54.00,166,194
2025-10-25 21:35:43,1497.98,30.10,54.00,162,188
2025-10-25 21:35:48,1503.01,30.80,54.00,162,188
2025-10-25 21:35:53,1508.04,30.20,54.00,166,190
2025-10-25 21:35:58,1513.06,30.10,54.00,166,190
2025-10-25 21:36:03,1518.09,30.00,54.00,164,188
2025-10-25 21:36:08,1523.11,30.90,54.00,165,188
2025-10-25 21:36:13,1528.14,30.00,54.00,165,188
2025-10-25 21:36:18,1533.16,30.90,54.00,168,190
2025-10-25 21:36:23,1538.19,30.40,54.00,166,188
2025-10-25 21:36:28,1543.21,30.50,54.00,166,189
2025-10-25 21:36:33,1548.24,30.70,54.00,166,189
2025-10-25 21:36:38,1553.26,30.80,54.00,170,195
2025-10-25 21:36:43,1558.29,30.40,54.00,170,194
2025-10-25 21:36:48,1563.31,30.60,54.00,170,194
2025-10-25 21:36:53,68.34,30.90,54.00,170,195
2025-10-25 21:36:58,1573.37,30.80,54.00,167,191
2025-10-25 21:37:03,1578.39,30.80,54.00,167,191
2025-10-25 21:37:08,1583.42,30.20,54.00,168,191
2025-10-25 21:37:13,1588.44,30.30,54.00,168,191
2025-10-25 21:37:18,1593.47,30.40,54.00,169,192
2025-10-25 21:37:23,1598.49,30.60,54.00,169,192
2025-10-25 21:37:28,1603.52,30.50,54.00,166,186
2025-10-25 21:37:33,1608.54,30.30,54.00,167,187
