PM2.5,PM10
-1.4777989196846373,-1.549222932865158
-1.497436102449905,-1.549222932865158
-1.6152591990415106,-1.5991054443206854
-1.595622016276243,-1.5991054443206854
-2.3221977785911445,-2.264205597061047
-2.3418349613564122,-2.2808331008795557
-2.3418349613564122,-2.2808331008795557
-2.243649047530074,-2.2309505894240287
-2.4203836924174826,-2.496990650520173
-2.36147214412168,-2.3307156123350827
-2.36147214412168,-2.3307156123350827
-2.36147214412168,-2.363970619972101
-2.3811093268869477,-2.363970619972101
-2.400746509652215,-2.363970619972101
-2.4203836924174826,-2.363970619972101
-2.4203836924174826,-2.3805981237906098
-2.498932423478553,-2.4803631467016642
-2.3811093268869477,-2.314088108516574
-2.3418349613564122,-2.314088108516574
-2.4203836924174826,-2.430480635246137
-2.400746509652215,-2.3473431161535916
-2.4400208751827503,-2.3805981237906098
-2.3811093268869477,-2.397225627609119
-2.459658057948018,-2.413853131427628
-2.459658057948018,-2.413853131427628
-2.4400208751827503,-2.3805981237906098
-2.4400208751827503,-2.430480635246137
-2.4203836924174826,-2.363970619972101
-2.4792952407132853,-2.463735642883155
-2.459658057948018,-2.463735642883155
-2.4792952407132853,-2.397225627609119
-2.4792952407132853,-2.4803631467016642
-2.4792952407132853,-2.4803631467016642
-2.459658057948018,-2.413853131427628
-2.459658057948018,-2.430480635246137
-2.459658057948018,-2.430480635246137
-2.498932423478553,-2.496990650520173
-2.498932423478553,-2.463735642883155
-2.5185696062438208,-2.4803631467016642
-2.5185696062438208,-2.463735642883155
-2.498932423478553,-2.4803631467016642
-2.498932423478553,-2.447108139064646
-2.5382067890090885,-2.496990650520173
-2.459658057948018,-2.413853131427628
-2.4792952407132853,-2.4803631467016642
-2.5185696062438208,-2.496990650520173
-2.498932423478553,-2.463735642883155
-2.5185696062438208,-2.4803631467016642
-2.557843971774356,-2.4803631467016642
-2.498932423478553,-2.4803631467016642
-2.557843971774356,-2.4803631467016642
-2.557843971774356,-2.4803631467016642
-2.5382067890090885,-2.4803631467016642
-2.5382067890090885,-2.4803631467016642
-2.5382067890090885,-2.4803631467016642
-2.557843971774356,-2.496990650520173
-2.557843971774356,-2.496990650520173
-2.5185696062438208,-2.4803631467016642
-2.5382067890090885,-2.513618154338682
-2.5774811545396235,-2.513618154338682
-2.5382067890090885,-2.496990650520173
-2.106188768173201,-2.0147930397834113
-2.1651003164690037,-2.0646755512389383
-2.1258259509384687,-2.048048047420429
-1.7330822956331162,-1.6157329481391942
-1.7723566611636514,-1.6822429634132305
-1.752719478398384,-1.6489879557762124
-1.7723566611636514,-1.6656154595947215
-1.7330822956331162,-1.5658504366836672
-1.7330822956331162,-1.6323604519577033
-1.7330822956331162,-1.6988704672317394
-1.7330822956331162,-1.7321254748687576
